"ОАО ""Капитал Банк""",84.30,84.70,101.00,102.50,1.125,1.140,0.1800,0.2070
"ОАО ""Дос-Кредобанк""",84.30,84.70,100.60,102.10,1.125,1.134,0.1900,0.2050
"ОАО ""БАКАЙ БАНК""",84.40,84.80,101.00,102.50,1.125,1.135,0.1900,0.2050
"ЗАО ""ЭкоИсламикБанк""",84.40,84.80,101.00,102.50,1.125,1.140,0.1900,0.2100
"ОАО ""ФинансКредитБанк КАБ""",84.45,84.85,101.00,102.50,1.125,1.141,0.1850,0.2100
MCS,84.60,84.80,102.10,102.60,1.128,1.135,0.2015,0.2035
"ЗАО ""Банк Компаньон""",84.40,84.80,101.00,102.50,1.125,1.145,0.1850,0.2100
"ЗАО ""Банк Азии""",84.40,84.80,101.00,102.50,1.125,1.140,0.1930,0.2050
"ОАО МФК ""Салым Финанс""",84.50,84.90,100.80,102.30,1.118,1.140,0.1850,0.2080
"АКБ ""Толубай""",84.45,84.85,101.00,102.50,1.110,1.160,0.1700,0.2100
"ОАО ""Оптима Банк""",84.50,84.90,100.80,102.30,1.120,1.140,0.1900,0.2100
"ОАО ""Кыргызкоммерцбанк""",84.50,84.90,100.80,102.30,1.115,1.140,0.1900,0.2100
"ОАО ""Керемет Банк""",84.50,84.90,100.80,102.20,1.115,1.145,0.1900,0.2100
"ОАО ""Халык Банк Кыргызстан""",84.50,84.85,100.80,102.30,1.118,1.138,0.1850,0.2100
"ЗАО ""KICB""",84.50,84.90,100.80,102.30,1.116,1.138,0.1900,0.2080
"ОАО ""Айыл Банк""",84.50,84.90,100.80,102.30,1.115,1.140,0.1850,0.2100
"ОАО ""КБ КЫРГЫЗСТАН""",84.50,84.90,100.80,102.30,1.123,1.140,0.1800,0.2100
"ОАО Банк ""Бай-Tушум""",84.60,84.90,101.00,102.50,1.120,1.137,0.1900,0.2070
"ОАО ""РСК Банк""",84.50,84.90,100.70,102.20,1.118,1.140,0.1800,0.2100
"ОАО РК ""Аманбанк""",84.50,84.90,101.00,102.50,1.120,1.140,0.1700,0.2100
"""АЮ гранд   комфорт""",84.70,84.85,101.50,102.50,1.122,1.130,0.2000,0.2080
"ЗАО ""Демир Кыргыз Интернэшнл Банк""",84.50,84.90,100.80,102.30,1.115,1.140,0.1850,0.2100
"ЗАО ""Кыргызско-Швейцарский Банк""",84.70,84.90,101.00,102.50,1.120,1.140,0.1800,0.2100
"ОАО ""Евразийский Сберегательный Банк""",84.60,84.90,101.00,102.50,1.100,1.135,0.1750,0.2150
